ID,RobotDateTime,Personnummer,ProvsvarsDate,Total bedomning
9,19/11/2021 08:31:02,8201113227,19-11-2021,GRON
11,13/11/2021 08:31:02,8201113245,13-11-2021,GRON
12,14/11/2021 08:31:02,8201113242,14-11-2021,GRON
16,26/11/2021 08:31:02,8201113206,26-11-2021,GRON
18,15/11/2021 08:31:02,8201113239,15-11-2021,GRON
23,23/11/2021 08:31:02,8201113215,23-11-2021,GRON
24,16/11/2021 08:31:02,8201113236,16-11-2021,GRON
25,24/11/2021 08:31:02,8201113212,24-11-2021,GRON
25,05/12/2021 08:31:02,8201113179,5-12-2021,GRON
30,17/11/2021 08:31:02,8201113233,17-11-2021,GRON
32,21/11/2021 08:31:02,8201113221,21-11-2021,GUL
32,01/12/2021 08:31:02,8201113191,1-12-2021,GRON
36,18/11/2021 08:31:02,8201113230,18-11-2021,GRON
39,28/11/2021 08:31:02,8201113200,28-11-2021,GRON
39,30/11/2021 08:31:02,8201113194,30-11-2021,RÖD
39,08/12/2021 08:31:02,8201113170,8-12-2021,GRON
43,25/11/2021 08:31:02,8201113209,25-11-2021,GRON
46,27/11/2021 08:31:02,8201113203,27-11-2021,GRON
46,07/12/2021 08:31:02,8201113173,7-12-2021,GRON
47,04/12/2021 08:31:02,8201113182,4-12-2021,GRON
48,11/12/2021 08:31:02,8201113161,11-12-2021,GRON
50,22/11/2021 08:31:02,8201113218,22-11-2021,GUL
50,09/12/2021 08:31:02,8201113167,9-12-2021,GRON
53,20/11/2021 08:31:02,8201113224,20-11-2021,GRON
53,03/12/2021 08:31:02,8201113185,3-12-2021,GRON
54,10/12/2021 08:31:02,8201113164,10-12-2021,GRON
57,02/12/2021 08:31:02,8201113188,2-12-2021,GRON
61,06/12/2021 08:31:02,8201113176,6-12-2021,GRON
62,12/12/2021 08:31:02,8201113158,12-12-2021,GRON
63,13/12/2021 08:31:02,8201113155,13-12-2021,GRON
64,29/11/2021 08:31:02,8201113197,29-11-2021,GRON
69,14/12/2021 08:31:02,8201113152,14-12-2021,GRON
75,15/12/2021 08:31:02,8201113149,15-12-2021,GRON
81,16/12/2021 08:31:02,8201113146,16-12-2021,GRON
87,17/12/2021 08:31:02,8201113143,17-12-2021,GRON
88,18/12/2021 08:31:02,8201113140,18-12-2021,GRON
94,19/12/2021 08:31:02,8201113137,19-12-2021,GRON
100,20/12/2021 08:31:02,8201113134,20-12-2021,GRON
106,21/12/2021 08:31:02,8201113131,21-12-2021,GUL
112,22/12/2021 08:31:02,8201113128,22-12-2021,GRON
